Square Kilometre Array (SKA)
Hartebeespoort Radio Observatory (HartRAO)
South African Earth Observation Network (SAEON)
South African National Space Agency (SANSA)
South Africa Astronomical Observatory (SAAO)
South African National Biodiversity Institute (SANBI)
